node_id,level,n_leaves,label,top_dishes
N78299,0,1841,fish dishes,fish taco; chips fish; grilled salmon; salmon teriyaki; fish sandwich; grilled tilapia; ancho salmon; fish fried
N75215,2,12,egg white dishes,egg scrambled whites; egg omelette white; egg protein scramble veggie white; egg omelette veggie white; egg omelette vegetarian white; egg frittata white; egg plate spinach white; burrito egg sausage size turkey white
N77380,2,176,veggie pizza dishes,pizza veggie; lover pizza veggie; pizza vegetarian; garden pizza; calzone veggie; pizza spinach; pizza vegetable; classic pizza veggie
N75536,2,26,breakfast egg sandwiches,bacon breakfast jack; benedict eggs; bacon cheese egg muffin; benedict classic eggs; breakfast classic sandwich; breakfast bun; benedict classic; benedict traditional
N77052,2,24,bacon dishes,bacon hickory smoked strips; bacon strips turkey; baconator breakfast; bacon canadian eggs; bacon burger swiss; bacon cheese krystal; bacon bleu; bacon dates wrapped
N76858,2,15,breakfast biscuit sandwiches,bacon biscuit cheese egg; biscuit cheese egg; biscuit cheese egg ham; bacon biscuit egg; biscuit egg ham; bacon biscuit cheese egg sandwich; biscuit fully loaded; biscuit cheese sausage
N76973,2,34,grilled cheese sandwiches,cheese grilled sandwich; cheese melt sandwich; burger cheese grilled; cheese grilled grown up; cheese deluxe grilled; cheese pimento sandwich; cheese panini; adult cheese grilled
N76448,2,18,snapper seafood dishes,snapper veracruz; japanese snapper sushi; snapper steamed; brown snapper stew; gulf snapper texas; grilled snapper; blackened snapper; shrimp snapper
N77301,2,42,spinach egg dishes,mushroom omelette spinach; greek omelette; omelette spinach; california omelet; feta omelette spinach; cheese omelette spinach; baby cremini feta mushroom omelette spinach; california scramble
N77221,2,28,breakfast egg dishes,breakfast sandwich ultimate; breakfast sandwich; benedict salmon smoked; benedict eggs florentine; avocado benedict; benedict california eggs; benny salmon smoked; benedict ham
N77514,2,37,cheese dishes,artichoke dip spinach; cheese chive cream onion; cheese cream honey tub walnut; cheese chive cream onion tub; cheese cream plain spread tub; cheese wontons; cheese pizza six tuscan; cheese pimento spread tub
N77360,2,21,cold cut sandwiches,deli sandwich turkey; bologna sandwich; club ham sandwich turkey; bologna hot sandwich; bologna sandwich smoked; bologna cheese sandwich; bologna cheese egg sandwich; chips drink natural sandwich sausage sliced
N77008,2,23,ham cheese sandwiches,cheese club ham sandwich; cheese grilled ham hot sandwich; egg sandwich scrapple; ham sandwich slider; ham hot sandwich; ham sandwich stacked; sandwich texas toast; cheese ham only sandwich turkey
N77383,2,71,cheesy potato snacks,cheese chips nacho sauce; bacon potato taco; cheese chips nacho; loaded pizza tot zza; basket finger steak; blue cheese chips potato; torta vegetarian; hot potato shredded sour
N77196,2,76,ham cheese sandwiches,cheese ham melt sandwich; cheese ham sub; ham provolone sub; ham sandwich; ham torta; cheese ham hot sandwich; ham sandwich swiss; cheddar ham pizza zesty
N77021,2,34,ham egg wraps,black cheese egg forest ham wrap; egg ham taco; burrito egg ham; breakfast burrito ham; burrito ham; ham taco; ham swiss wrap; ham wrap
N77193,2,10,eel dishes,sushi unagi; unagi; eel sea sushi; bbq eel roll; bbq eel roll sushi; asparagus eel roll; crunchy eel; eel grilled
N74991,2,9,branzino dishes,branzino grilled; branzino filet; branzino mediterranean; al branzino forno; branzino pan pasta roasted; branzino pan seared; branzino canary island; arroz branzino clam
N77099,2,17,lamb skewer dishes,boti kebab lamb; kebab lamb shish; kabob lamb shish; lamb skewer; curry jalfrezi lamb; lamb sekuwa; kabob lamb skewer; awaze lamb tibs
N77323,2,17,fried cheese snacks,cheese cheetos crunchy; bites cheddar fried white; cheese curds; cheese fried; bites cheese mozzarella; cheese curds fried; fried mozzarella; cheese stick
N76841,2,53,ceviche dishes,ceviche de tostada; ceviche; ceviche de pescado; ceviche tostada; ceviche lunch tostadas; cancun pescado; ceviche fish tostada; ceviche chimichurri lunch salad
N77283,2,87,cheesy mac dishes,cheese grilled mac sandwich; cheese macaroni; cheese mac; cheese mac pizza; cheese mac platter steakhouse; cheese mac wisconsin; bacon cheese mac; bites cheese mac
N75236,2,8,haddock dishes,haddock sandwich; baked haddock; fried haddock sandwich; basket fish haddock; burger haddock; broiled haddock; boy haddock po sub; fish haddock sandwich
N76293,2,34,seafood mixed dishes,catfish shrimp; lo macho pescado; camarones con pescado; redfish shrimp; de filete mariscos relleno; del mar pizza; azteca pescado; fish grilled shrimp skewer white
N77527,2,131,salmon dishes,kabob salmon; burger salmon; salmon tandoori; caesar classic grilled salad salmon; blt salmon sandwich; baked roll salmon; salmon sandwich; bbq honey salmon
N77244,2,32,sweet and savory waffles,strawberry waffle; berry very waffle; nutella strawberry waffle; platter waffle; fruit waffle; bacon golden or sausage waffle; banana strawberry waffle; nutella waffle
N77225,2,193,meat lovers pizza,pizza supreme; lovers meat pizza; meat pizza; all meat pizza; chicago pizza stuffed style; pizza sausage; calzone lovers meat; meat pizza stuffed
N77325,2,31,Mexican bean dishes,mexican pizza veggie; bean chalupa cheese; bean tostada; bean cheese tostada; tostada veggie; baleada sencilla; baleada; bean cheese gordita
N77356,2,73,bacon lettuce tomato dishes,blt sandwich; bacon burger buttery jack swiss; avocado blt sandwich; blt classic sandwich; bacon lettuce sandwich tomato; blt wrap; blt ultimate; bacon cheese grilled sandwich
N76733,2,25,sweet potato dishes,potato roll sweet; baked loaded potato sweet; gff pancakes potato sweet; potato smash sweet up veggie; bacon potato smash sweet up; pie potato sweet; casserole potato sweet; bowl coconut curry potato sweet
N77081,2,43,cheesy meat nachos,bean cheese nachos; fajita nachos steak; nachos steak; bean nachos; asada carne nachos; grilled nachos steak; nachos vegetarian; bean cheese guacamole nachos
N76392,2,27,Cuban sandwiches,cubano; cubano el sandwich; char cubano; cubano pork sandwich smoked; burrito cuban; havana sandwich; medianoche sandwich; cuban press sandwich
N77224,2,44,beef tongue dishes,lengua taco; burrito lengua; lengua quesadilla; guisada lengua; en lengua salsa verde; gordita lengua; de lengua plato; entomatada lengua
N76690,2,21,beans chorizo dishes,charros frijoles; bacon beans chorizo egg taco; beans chorizo; con frijoles queso taco; bean jalapeno; frijoles refritos; beans charro taco; chorizo con frijoles
N76453,2,23,mushroom dishes,burger ed saut shroom; fried mushrooms; ed mushrooms saut; mushroom sauteed; mushroom oyster sauce; apple cinnamon mush; champinones taco; hongos taco
N75539,2,5,bean sprouts dishes,bean fried sprouts stir; bean sauteed sprouts; bean ed saut sprouts; barbecued bean pork sprouts; bean garlic sauce seaweed sprouts vinegar
N70725,2,16,string bean dishes,bean sauteed string; bean dried sauteed string; beans dry sauteed string; bean fried stir string; beans cooked dry string; beans steamed string; beans sauteed string style szechuan; beans dry fried string
N76332,2,10,portabella mushroom dishes,grilled mushroom portabella sub swiss; char portabella; burrito portabella rajas; burger portabella; pizza portabella; grilled mushroom portabella sandwich; fried mushrooms portabella; portabella sandwich wrap
N76423,2,27,plantain-based dishes,con pollo tajadas; de mofongo pollo relleno; patacon; jibarito sandwich; de empanadas pl tano; canasta de tostones; bifongo de pollo relleno; burger patacon
N76400,2,31,bacon breakfast dishes,bacon burger rancher; bacon egg plate; chowder soup white; breakfast skillet; bacon egg potato taco; bacon bowl cheese egg; bacon cheese sandwich; bacon breakfast sandwich
N77438,2,27,noodle soups pasta dishes,noodle pasta rama; soup thai wonton; soup wonton; ramen tonkotsu; ramen shio; arroz la mexicana; ramen vegetable; bowl brodo tortellini
N77417,2,47,cauliflower-based dishes,barbacoa cauliflower enlightened pita tacos; cauliflower taco; cauliflower crust pizza traditional; cauliflower dry pot; cauliflower roasted; cauliflower steak; gobi masala; buffalo cauliflower
N76702,2,14,loaded baked potatoes,baked pork potato; baked bbq potato; baked brisket potato; brisket potato stuffed; baked brisket natural potato sliced; baked breast natural potato smoked turkey; baked potato shrimp; baked loaded pizza potato
N77316,2,41,grilled cheese sandwiches,cheese classic grilled sandwich; cheese crusted four melt sandwich; cheese sandwich veggie; cheese grilled sandwich ultimate; cheddar roasted sandwich tomato; blt cheese pimento; cheese grilled sandwich steak; cheese gourmet grilled sub
N77402,2,14,bean and pork dishes,baked beans; bacon baked beans; beanburger burger; bean green minced pork; bacon beans; bean dry fried green minced pork; bean fried green ground pork; beans sichuan string
N77089,2,20,fresh green salads,garden salad; fresh garden pizza; pecan salad strawberry; basil pesto salade tomato; green mixed salad; fresh garden salad; apple pecan salad; berry fresh salad
N77201,2,21,salad dishes,caesar classic salad seasoned shrimp; goddess green salad; salad wedge; salad tossed; benihana salad; fattoush salad; lettuce oyster sauce; fattoush
N77426,2,39,plantain based dishes,mofongo; camarones de mofongo relleno; carne de frita mofongo relleno; frito platano; patacones; carne con frita mofongo; mofongo pulpo relleno; de pana tostones
N76642,2,46,vegetarian burrito dishes,bean burrito cheesy rice; burrito fiesta veggie; bean burrito; burrito veggie; bowl fajita vegan; burrito grilled veggie; bowl burrito vegetarian; burrito vegan
N77485,2,18,gluten-free vegan dishes,free gluten pepperoni pizza; free gluten mushroom pepperoni pizza sausage; basket gardein meatless tender wings; beyond meatless tenders; sandwich sardine; papad roasted; beyond chicken meat tenders; gf pasta pesto pistachio
N76529,2,20,vegetarian noodle soups,beef hot pot; pho vegetarian; pho vegan; pho veggie; creamy ramen spicy vegan; pho tofu; hot pot vegetable; noodle rice soup vegetarian
N76892,2,17,bok choy mushroom dishes,baby bok choy garlic sauce; bok choy fried stir; bok choy mushroom; bok choy garlic sauce; baby bokchoy mushroom shiitake; black bok choy mushroom; bok choy mushroom winter; bok choy fried garlic stir
N77498,2,73,vegetable curry dishes,curry vegetable; korma vegetable; curry mixed vegetable; country plate vegetable; curry mix veg; curry korma veg; vegetable vindaloo; creamy curry dumpling veggie
N76919,2,7,pea snow dishes,fried peas snow stir; mushrooms peas snow; garlic peas snow; garlic leaves pea sauce snow; ed peas saut snow; fried leaves pea snow stir; beef pea sauteed snow
N75036,2,11,tomato soup dishes,cheese classic creamy grilled soup tomato; creamy sandwich soup tomato tuna; basil creamy soup tomato; cheese grilled sandwich soup tomato; bowl creamy soup tomato; bowl creamy cup soup tomato; bisque cheese grilled tomato; bisque bowl farmhouse gf tomato
N76815,2,47,vegetarian mexican bean dishes,bean cheese taco; bean burrito cheese; quesadilla veggie; enchiladas veggie; bacon bean taco; burrito chimichanga veggie; bean cheese quesadilla; bean burrito crisp pinto
N77290,2,78,potato dishes,browns hash; cheesy fiesta potatoes; breakfast crispy potatoes; baked potato; baked loaded potato; loaded mashed platter potatoes; potato salad; spud veggie
N75906,2,15,veggie burgers,burger veggie; burger vegan; burger vegetarian; burger cheeseburger vegetable; beet burger smashed veggie; beet burger gf smashed veggie; burger house veggie; burger egg vegetarian
N77127,2,17,plant-based meat dishes,beef kabob; bowl fajita impossible; burrito fajita impossible; hibachi rice steak; beef kebab shish; carne pizza; breakfast burrito impossible; chicken kung pao vegetarian
N77197,2,39,falafel dishes,falafel sandwich; falafel plate; bowl crispy falafel; falafel pita; burger falafel; falafel pita sandwich; falafel plate salad; arabi falafel
N76138,2,19,broccoli dishes,broccoli garlic sauce; broccoli steamed; broccoli sauteed; broccoli oyster sauce; broccoli fried stir; broccoli ed saut; broccoli garlic sauce sauteed; broccoli peas snow
N76286,2,10,hummus-based dishes,bread hummus pita; hummus spicy; beef hummus over; hummus lamb nuts pine; bi hummus tahina; chips homemade hummus pita; hummus sushi; hummus pita plate
N76563,2,17,meat and cheese mac,brisket mac stack; burger cheeseburger mac; brisket mac; cheese mac meatball pasta; cheese chili mac; beef braised cheese mac; bowl cheese mac philly rib; greek lasagna pastitsio
N77304,2,60,chickpea based dishes,chana masala; chana curry masala; chana saag; chickpea masala; bowl cauliflower falafel rice; chole masala; chole poori; chana curry saag
N74854,2,11,kimchi dishes,kimchi; cabbage dry pot; kimchi taco; fr kimchee pasta; ichi sushi; house kimchi; bowl kimchi; cabbage gf kimchi napa
N77073,2,50,veggie mexican dishes,bean black fajita veggie; taco veggie; grilled taco veggie; taco vegetarian; salad taco veggie; taco vegan; sandwich southwest veggie wrap; bean chalupa
N77405,2,18,chickpea-based dishes,chana masala punjabi; chicken kothu parotta; bowl falafel rice; chickpea curry spiced; chickpeas masala savory; falafel platter rice; egg kothu parotta; garbanzo masala
N77524,2,22,broccoli dishes,broccoli chinese oyster sauce; broccoli garlic hot sauce; broccoli casserole rice; broccoli phillipsburg salad; broccoli chinese garlic; broccoli chinese fried stir; broccoli cheese; broccoli chinese garlic sauce
N77069,2,51,egg potato dishes,omelette spanish; con huevos papas; egg plate potato; de huevo torta; country omelet; cowboy omelet; farmer omelette; con huevo papa taco
N77525,2,32,vegetarian chicken dishes,based bbq chicken pizza plant; chicken masala pizza tikka twist vegan; bean black chicken sauce veggie; chicken general tso vegetarian; cheese grilled melt vegan; chicken orange vegetarian; beans chicken string veggie; broccoli chicken vegetarian
N75371,2,14,refreshing cucumber dishes,cucumber salad; cucumber feta salad; cucumber sushi; salad wakame; pepino roll; salad sunomono; cucumber feta free gluten salad; pepino preparado
N75777,2,9,asparagus-based dishes,asparagus grilled; asparagus eggs grilled; omelette spring; asparagus sushi; asparagus bacon wrap; asparagus roll steamed; asparagus bearnaise grilled steak; asparagus basil fried stir
N77428,2,68,stuffed pepper dishes,chile relleno; chile plate relleno; chile relleno taco; chile de queso relleno; burrito chile de relleno; cheese chile relleno; poblano stuffed; beef chile relleno
N76135,2,13,spicy vegetable dishes,kung pao vegetables; curry jalfrezi vegetable; cheese goat pepper pizza red roasted; peppers sandwich sweet; hot peppers sandwich; curry karahi veggie; garlic peppers; chili green peppers
N75678,2,11,peanut butter jelly dishes,butter jelly peanut sandwich; grilled pb sandwich; almond butter toast; banana pb toast; pbj sandwich; butter grilled jelly peanut sandwich; jelly toast; banana butter grilled peanut sandwich
N77453,2,21,Mexican vegetarian dishes,tamales veggie; chorizo gordita; de marlin taco; marlin taco; de rajas tamales; con de gorditas queso rajas; con gordita queso rajas; jackfruit taco
N77101,2,15,mushroom dishes,king mushroom oyster; bamboo black mushroom shoots; bean curd rolls; mushroom skewer; ear salad wood; bamboo beef mushrooms sauteed shoots; assorted bean curd mushrooms rolls; bean curd oyster roll sauce
N77280,2,51,mushroom dishes,masala mushroom; mushroom pizza wild; matar mushroom; mushroom taco; mushrooms stuffed; curry matar mushroom; evil pizza ways; masala mushroom mutter
N58137,2,6,papaya salads,papaya salad; green papaya salad taco; som thai tum; som tom; green papaya salad; som tam
N76474,2,21,vegetable dumplings and rolls,dumplings steamed vegetable; dumpling vegetable; aushak vege; gyoza veggie; eggrolls vegan; dumplings mushroom vegetable; sauce spicy vegan wontons; imperial rolls veggie
N77297,2,32,vegetable-based salads,de gallo pico; greek salad; bowl greek salad; fried green tomatoes; de gallo pico taco; blt fried green tomato; greek salad vegan; tabouli
N73821,2,69,spaghetti pasta dishes,bowl marinara meatball; meatballs pasta spaghetti; meat pasta sauce spaghetti; meatballs spaghetti; pasta sausage spaghetti; bolognese pasta spaghetti; pasta sauce spaghetti tomato; baked pasta spaghetti
N75657,2,20,vegetable pasta dishes,pasta vegetable; italiano pasta penne vegetable; pesto veggie; lover veggie; butter curry east indian pasta penne veggie; pizza sicilian vegetarian; pasta pesto veggie; pasta pesto primavera
N77431,2,39,vegetarian wraps,veggie wrap; fajita veggie; fajita vegetarian; vegetarian wrap; sandwich veggie wrap; vegetable wrap; grilled veggie wrap; fajitas gluten sensitive vegetable
N76021,2,24,street food snacks,chaat samosa; aloo chaat tikki; chaat palak; kachori raj; chaat mixed; chaat papadi; masala puri; aloo chaat papdi
N75126,2,9,zucchini dishes,grilled squash zucchini; fried pita zucchini; chips squash zucchini; crispy fried garlic pepper zucchini; mucver; baked zucchini; fried squash stir; fried hummus sandwich zucchini
N76795,2,53,vegetable curry dishes,aloo gobi; aloo gobi masala; aloo curry gobi; jalfrezi vegetable; masala vegetable; aloo curry gobi masala; alu gobi; masala tikka veg
N77442,2,21,breakfast sandwich variations,cheese croissan egg ham wich; cheese croissan egg sausage wich; bacon cheese croissan egg wich; cheese croissan egg wich; croissan egg ham wich; bacon croissan egg wich; croissan egg sausage wich; bacon brioche cheese egg scrambled
N76593,2,23,pasta tomato sauce dishes,marinara pasta sauce spaghetti; marinara spaghetti; pasta pomodoro spaghetti; mushrooms pasta spaghetti; marinara sauce spaghetti; pasta spaghetti veggie; al pasta pomodoro spaghetti; amatriciana pasta
N77352,2,21,yellowtail dishes,chili ponzu yellowtail; heaven yellowtail; spicy sushi yellowtail; basil poke taco yellowtail; garlic ponzu yellowtail; negi yellowtail; sashimi yellowtail; serrano yellowtail
N76674,2,78,seafood fish dishes,baked fish; fish tandoori; de filete la pescado plancha; fish ginger; fish steamed; fish stuffed; la pescado plancha; ajo al de filete mojo pescado
N70560,2,8,hot dogs,dog hot; burger dog hot; classic dog hot; dog hot original; foot long; dog hot taco; basic dog hot sandwich; burger classic dog hot
N76927,2,32,hot dog dishes,all american dog; cheese chili coney; bacon dog; cheese chili dog; chicago dog; dog kraut; dog junkyard; salchipapa
N76275,2,25,veggie bowls salads,bowl menu power veggie; bowl veggie; avocado bowl lentil; healthy heart pizza veggie; bowl cauliflower power quinoa; border bowl grilled portobello; bowl vegetarian; gf pizza vegetarian
N77472,2,42,hot dog varieties,cheese dog; chili dog; dog hot kosher style; coney dog; all beef dog hot; cheese coney dog; beef dog hot; cheese chili dog hot
N77257,2,29,caprese dishes,caprese salad; cheese pizza tomato; caprese insalata; california caprese sandwich; fresh mozzarella pizza; burrata caprese; calzone caprese; caprese pesto sandwich vegetarian
N74179,2,17,burger dishes,burger original; bistro burger; keto taco; kabob kubideh moby sandwich; burger dbl poblano smash; burger chicago; burger smashed wisconsin; beef big burger spanish
N77108,2,25,portobello mushroom dishes,burger melt mushroom; portobello sandwich; burger portobello; mushroom panini portabella sandwich; fajita portobello; grilled portobello sandwich; burger mushroom portobello; mushroom pasta peppery portobello
N76490,2,32,veggie skewer dishes,mediterranean sandwich veggie; pizza veggie zesty; kabob veggie; mixed sauteed vegetable; rainbow sushi; kebab veggie; kabob vegetable; sandwich stack veggie
N58993,2,24,green bean dishes,beans string szechuan; beans garlic green; bean green spicy; beans garlic sauce string; bean fried green stir; bean green style szechuan; beans green szechuan; bean string
N77064,2,20,vegetable curry dishes,korma navratan; curry korma navratan; fried seasonal stir vegetable; bean black sauce vegetable; coconut curry goa vegetable; pak sikil; curry makhani vegetable; aavakai curry vegetable
N77233,2,42,ham and egg dishes,egg ham melt sandwich; breakfast cheesy egg ham melt; biscuit country ham; eggs ham; cristo monte sandwich; cheese egg ham sandwich; egg ham sandwich; croque madame sandwich
N77053,2,62,potato-based dishes,aloo mutter; aloo matar; papas rancheras; aloo chana; aloo curry matar; aloo curry mutter; aloo dum; la mexicana potato taco
N77324,2,46,veggie bean burgers,patty veggie wrap; bowl patty veggie; beans black rice; bean black burger southwestern; burger garden; beans rice taco; beans rice; beans green southern
N75919,2,15,bratwurst dishes,bratwurst; brat sandwich; bratwurst german; bratwurst smoked; plate wurst; elgin plate sausage; bratwurst roll; german platter wurstchen
N76906,2,12,pastrami and swiss sandwiches,cheese pastrami sub turkey; ny pastrami sandwich; kosher salami sandwich; beef pastrami sandwich; reuben sandwich vegan; angus black burger pastrami swiss; burger golden pastrami; reuben sandwich veggie
N76971,2,11,cured ham dishes,black forest ham wrap; black bowl forest ham; ham honey sub; cured ham sugar; black forest ham; barbecue ham honey; baked ham; black forest ham pita
N77094,2,25,pasta tomato basil dishes,pasta puttanesca spaghetti; basil sandwich tomato; basil pasta spaghetti tomato; capellini pasta pomodoro; pomodoro spaghetti; pasta penne puttanesca; pasta putanesca; pasta pesto spaghetti
N76826,2,36,baked pasta dishes,baked pasta ziti; manicotti pasta; cannelloni pasta; baked ziti; deep dish pasta ziti; baked meat pasta sauce ziti; baked pasta shells stuffed; baked meatballs pasta ziti
N73385,2,53,lasagna dishes,lasagna pasta; lasagna; lasagna meat pasta; homemade lasagna pasta; baked lasagna pasta; beef lasagna pasta; baked lasagna; lasagna meat
N77416,2,42,sausage sandwiches rolls,extreme sandwich sausage; patties sausage smoked; roll sausage; boy po sausage; cheese sausage sub; cheese roll sausage; pizza roll sausage; sandwich sujuk
N77331,2,27,sausage based dishes,coney pound quarter; links pork sausage; hot link pizza; hot link sandwich; dog grilled hot; egg plate sausage; eggs links sausage; country plate sausage
N76687,2,15,gnocchi pasta dishes,gnocchi pasta sorrentina; gnocchi gorgonzola pasta; al gnocchi pasta pesto; gnocchi pasta pomodoro; alla gnocchi sorrentina; alla gnocchi pasta sorrentina; gnocchi marinara; gnocchi gorgonzola
N77208,2,38,pasta dishes,cauliflower cream garlic pasta rigatoni roasted; formaggi pizza; artichoke cream pasta spinach; ham pasta pea salad; basil pasta pesto; angel hair pasta pomodoro; garlic oil olive pasta; angel garlic hair pasta
N77454,2,36,vegetarian vegetable dishes,skillet veggie; pizza specialty veggie; aloo baingan; pasta vegan veggie; skillet vegetarian; classic pizza vegetarian; moussaka vegetarian; ny pizza style veggie
N76830,2,30,Italian tomato-based dishes,pepperoni pizza zesty; marinara pasta sauce; pasta pomodoro; alla pasta vodka; pepperoni pizza special; arrabiata pasta; cheese fresh pizza tomato; caprese pasta
N77388,2,42,cheese ravioli dishes,cheese pasta ravioli; pasta ravioli; cheese ravioli; pasta ravioli spinach; ravioli; baked pasta ravioli; cheese ravioli toasted; cheese marinara pasta ravioli
N77420,2,43,stuffed pasta dishes,pasta shells stuffed; cheese manicotti pasta; mezzaluna pasta; baked manicotti pasta; lasagna pasta spinach; lasagna pasta vegetable; lasagna pasta veggie; lasagna spinach
N75169,2,23,garlic butter pasta dishes,cacio pasta pepe; aglio olio pasta spaghetti; garlic oil pasta spaghetti; garlic spaghetti; butter garlic pasta spaghetti; garlic oil pasta; aglio olio pasta; butter pasta spaghetti
N77521,2,48,lentil and vegetable dishes,bowl greens turnip; black creamy lentils; dal light yellow; chole puri; curry kaju; black creamy dal; ka saag sarson; punjabi saag
N77298,2,74,sausage italian dishes,pepperoni pizza sausage; italian sausage; italian pasta sausage spaghetti; mushroom pepperoni pizza sausage; cheese pepperoni pizza sausage six; italian pasta sausage; pizza ricotta sausage; pasta peppers sausage
N76933,2,33,cauliflower manchurian dishes,cauliflower wings; gobi manchurian; buffalo cauliflower wings; cauliflower manchurian; dry gobi manchurian; cauliflower fried sandwich; gobi gravy manchurian; fusion gobi manchurian roll
N77149,2,37,breakfast sausage dishes,breakfast burrito sausage; breakfast burrito cheese egg sausage; egg sausage taco; burrito sausage; burrito egg sausage; sausage taco; cheese egg sausage taco; burrito cheese egg sausage
N77292,2,83,chorizo dishes,chorizo taco; burrito chorizo; bean chorizo taco; campechano taco; chorizo quesadilla; mexican sausage taco; chorizo nachos; chorizo de quesadilla
N77326,2,22,eggplant dishes,moussaka; eggplant stuffed; eggplant pork; moussaka plate; greek moussaka; baked moussaka; eggplant minced pepper pork; eggplant moo prik
N76167,2,45,eggplant parmesan dishes,eggplant parmigiana; eggplant parmigiana pasta; eggplant parmesan; eggplant parmesan sub; eggplant parmesan sandwich; eggplant parm sub; eggplant sub; alla melanzane parmigiana
N76763,2,26,chorizo potato dishes,chorizo plate; chorizo con papas; chorizo papa taco; chorizo plus potato taco; chorizo con papas taco; chorizo skillet; chorizo plate potato; chorizo soft taco
N75794,2,23,eggplant dishes,chicken eggplant; chicken eggplant garlic sauce; eggplant style szechuan; eggplant wrap; bowl parmigiana; basil eggplant spicy; eggplant stew; eggplant pad phet
N77369,2,50,chorizo egg dishes,chorizo con huevos; chorizo egg plate; al gusto huevos; chorizo egg torta; chorizo con huevo plate; chorizo con huevo taco; burrito chorizo con huevo; chorizo omelette
N77471,2,64,sausage dishes,breakfast cheesy egg melt sausage; sandwich sausage; eggs sausage; country egg sausage taco; hot sausage sub; bird buffalo dogs sandwich; cheese jalapeno sausage; cheese egg sausage sub turkey
N77133,2,35,beef tortas,asada carne torta; steak torta; lengua torta; barbacoa torta; beef torta; beef fajita torta; birria torta; queso steak torta
N74877,2,11,tuna sub sandwiches,sandwich sub tuna; cold sub tuna; cheese fish sub tuna; meat salad sub tuna white; cold salad signature sub tuna; cold salad sub tuna; cheese cold salad sub tuna; cold cut sub tuna
N75561,2,23,sausage breakfast dishes,sausage smoked; ranchero sausage spicy taco; sausage scrambler; eggs sausage smoked; potato sausage; con huevo sausage; sausage skillet; potato sausage taco
N77445,2,30,cheese-based dishes,cheese loroco; huitlacoche quesadilla; de huitlacoche quesadilla; cheese de queso tostadas; blanditos cheese de queso soft tacos; cheese de enchiladas queso; con loroco queso; nopales quesadilla
N77478,2,28,kielbasa sausage dishes,classic kielbasa plate sandwich sausage; cheddar jalapeno kielbasa; kielbasa polish sausage; classic kielbasa sandwich sausage; kielbasa plate polish; polish sandwich sausage; burger polish sausage; maxwell polish sausage st
N77457,2,26,sandwich varieties,cubana torta; breakfast cheese egg sandwich sub; bacon breakfast cheese egg sandwich sub; black breakfast cheese egg forest ham sandwich sub; hawaiana torta; pork roll sandwich; chicharron con pan; cheese rolls
N76768,2,11,garlic herb dishes,garlic italian pizza; ajo de mojo; pizza salsa verde; ajo de mojo salsa; blueberry pesto sandwich; cilantro taco; bowl chimichurri; marinated mixed olives
N74380,2,35,eggplant dishes,eggplant garlic sauce; eggplant fried stir; basil eggplant; baba ghanouj; eggplant garlic hot sauce; crispy eggplant; baba ghanoush; eggplant garlic sauce spicy
N76968,2,16,savory pastry dishes,cheese crab cream roll; chicken puff; chicken friand; chicken curry puff; paneer puff; egg masala puff; italiana torta; cinnamon pie
N76685,2,15,pastrami sandwiches,big hot pastrami sandwich sub; cheese pastrami sub; cheese panini pastrami; cheese egg pastrami sandwich; dip pastrami sandwich; pastrami sandwich turkey; cheesesteak pastrami; pastrami sub swiss
N77455,2,40,pork torta varieties,al pastor torta; carnitas torta; ahogada torta; pork torta; adobada torta; braised carnitas torta; marinated pork torta; colita de pavo torta
N76342,2,16,spinach cheese pastries,spanakopita; feta rollup spinach; plate spanakopita; spanikopita special; pie plate spinach; pie spanakopita spinach; borek; greek pie pizza
N77367,2,32,sandwich varieties,bacon cheese ciabatta egg scrambled; cheese ciabatta egg scrambled; cheese ciabatta egg sausage scrambled; fresh mozzarella sandwich; beef panini roast sandwich; italian sandwich veggie; panini sandwich steak; prosciutto sandwich
N77347,2,19,cheesy bread snacks,california fried roll sushi; bread cheese italian; bacon cheesebread; cheese dz kolaches sausage; cheese pretzels; pimento pretzels; garlic parm stix; bread cheese garlic wings
N76233,2,20,mexican torta varieties,chorizo torta; breakfast torta; mexican sausage torta; pambazo torta; choriqueso torta; sausage torta; bacon egg torta; chorizo con huevo torta
N76558,2,16,black bean dishes,bean black chalupa cheddar toasted; bean black burger; bean black burger veggie; huevos motulenos; bacon breakfast cheese egg taco; bean black corn plate taco; burrito giant veggie; bean black salad
N76789,2,12,brussels sprouts dishes,brussels enlightened kale roasted salad sprouts; brussels honey sprouts sriracha; bacon brussels pizza; brussel cheese goat pizza sprouts sriracha; brussels fried sprouts; brussels crispy; brussels salad sprouts; brussel flash fried sprouts
N77134,2,30,nopal egg dishes,egg nopales taco; nopalitos taco; egg nopalitos taco; egg nopal plate; cactus egg taco; con huevo nopalitos taco; egg nopalitos plate; en nopalitos roja salsa
N77481,2,29,cheese meat wraps,asada breakfast burrito carne; gyro vegetarian; empanada queso; arepa cheese ham; tomato uttapam; arepa carne mechada; cheese panela; halloumi sandwich
N77343,2,38,banh mi sandwiches,banh grilled mi pork sandwich; banh mi sandwich tofu; banh beef grilled mi sandwich; banh beef mi; banh mi sandwich vegan; banh lemongrass mi sandwich tofu; banh egg mi sandwich; bahn mi
N77004,2,63,vegan mediterranean dishes,falafel wrap; baked falafel pita; bowl falafel; mediterranean veggie wrap; hummus sandwich; gyro veggie; hummus plate salad; falafel salad
